gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.value
TCF3	ENSG00000071564	MONDO_0011096	MONDO_0005046	immune organ	15814.5
ANKRD11	ENSG00000167522	MONDO_0007846	MONDO_0005071	brain	15792.0
SAMHD1	ENSG00000101347	MONDO_0700260	MONDO_0003900	connective tissue	15724.0
DDR2	ENSG00000162733	MONDO_0010077	MONDO_0002081	musculature	15682.0
KCNC1	ENSG00000129159	MONDO_0100038	MONDO_0005071	brain	15583.0
KCNC1	ENSG00000129159	MONDO_0020074	MONDO_0005071	brain	15583.0
SNTA1	ENSG00000101400	MONDO_0002442	MONDO_0004995	heart	15545.0
ARHGEF9	ENSG00000131089	MONDO_0100148	MONDO_0005071	brain	15389.0
MEFV	ENSG00000103313	MONDO_0018088	MONDO_0005046	immune organ	15290.0
LPIN2	ENSG00000101577	MONDO_0012316	MONDO_0005570	blood	15283.0
LRP4	ENSG00000134569	MONDO_0014578	MONDO_0005071	brain	15267.0
ITPR1	ENSG00000150995	MONDO_0007298	MONDO_0005071	brain	15235.0
G6PD	ENSG00000160211	MONDO_0010480	MONDO_0005570	blood	14928.0
PTPN11	ENSG00000179295	MONDO_0015280	MONDO_0004995	heart	14904.0
PTPN11	ENSG00000179295	MONDO_0018997	MONDO_0004995	heart	14904.0
PTPN11	ENSG00000179295	MONDO_0007893	MONDO_0004995	heart	14904.0
PTPN11	ENSG00000179295	MONDO_0009026	MONDO_0004995	heart	14904.0
NONO	ENSG00000147140	MONDO_0020119	MONDO_0005071	brain	14855.0
POGZ	ENSG00000143442	MONDO_0014606	MONDO_0005071	brain	14753.0
IKZF3	ENSG00000161405	MONDO_0030333	MONDO_0005046	immune organ	14595.0
AP3D1	ENSG00000065000	MONDO_0014885	MONDO_0005066	endocrine gland	14594.0
PSEN1	ENSG00000080815	MONDO_0005021	MONDO_0002081	skeletal element	14445.0
MRAS	ENSG00000158186	MONDO_0018997	MONDO_0004995	heart	14441.0
TUBGCP6	ENSG00000128159	MONDO_0009624	MONDO_0005071	brain	14421.0
GJA1	ENSG00000152661	MONDO_0019497	MONDO_0005071	brain	14410.0
RHOBTB2	ENSG00000008853	MONDO_0100038	MONDO_0005071	brain	14311.0
NR2F1	ENSG00000175745	MONDO_0014320	MONDO_0005071	brain	14248.5
DTNA	ENSG00000134769	MONDO_0005453	MONDO_0004995	heart	14148.0
C3	ENSG00000125730	MONDO_0013043	MONDO_0005046	immune organ	14024.5
JPH2	ENSG00000149596	MONDO_0005021	MONDO_0002081	musculature	13959.5
JPH2	ENSG00000149596	MONDO_0005045	MONDO_0002081	musculature	13959.5
KRAS	ENSG00000133703	MONDO_0018997	MONDO_0005046	immune organ	13955.0
COL18A1	ENSG00000182871	MONDO_0800167	MONDO_0005071	nerve	13935.0
STK11	ENSG00000118046	MONDO_0016248	MONDO_0005039	reproductive structure	13927.0
CD247	ENSG00000198821	MONDO_0012426	MONDO_0005046	immune organ	13828.0
SERPINI1	ENSG00000163536	MONDO_0020074	MONDO_0005071	brain	13824.0
